"New York",NY,8363710
"Los Angeles",CA,3833995
Chicago,IL,2853114
Houston,TX,2242193
Phoenix,AZ,1567924
Philadelphia,PA,1447395
"San Antonio",TX,1351305
Dallas,TX,1279910
"San Diego",CA,1279329
"San Jose",CA,948279
Detroit,MI,912062
"San Francisco",CA,808976
Jacksonville,FL,807815
Indianapolis,IN,798382
Austin,TX,757688
Columbus,OH,754885
"Fort Worth",TX,703073
Charlotte,NC,687456
Memphis,TN,669651
Baltimore,MD,636919
"El Paso",TX,613190
Boston,MA,609023
Milwaukee,WI,604477
Denver,CO,598707
Seattle,WA,598541
Nashville,TN,596462
Washington,DC,591833
"Las Vegas",NV,558383
Portland,OR,557706
Louisville,KY,557224
"Oklahoma City",OK,551789
Tucson,AZ,541811
Atlanta,GA,537958
Albuquerque,NM,521999
Fresno,CA,476050
Sacramento,CA,463794
"Long Beach",CA,463789
Mesa,AZ,463552
"Kansas City",MO,451572
Omaha,NE,438646
Cleveland,OH,433748
"Virginia Beach",VA,433746
Miami,FL,413201
Oakland,CA,404155
Raleigh,NC,392552
Tulsa,OK,385635
Minneapolis,MN,382605
"Colorado Springs",CO,380307
Honolulu,HI,374676
Arlington,TX,374417
Wichita,KS,366046
"St. Louis",MO,354361
Tampa,FL,340882
"Santa Ana",CA,339130
Anaheim,CA,335288
Cincinnati,OH,333336
Bakersfield,CA,321078
Aurora,CO,319057
"New Orleans",LA,311853
Pittsburgh,PA,310037
Riverside,CA,295357
Toledo,OH,293201
Stockton,CA,287037
"Corpus Christi",TX,286462
Lexington,KY,282114
"St. Paul",MN,279590
Anchorage,AK,279243
Newark,NJ,278980
Buffalo,NY,270919
Plano,TX,267480
Henderson,NV,252064
Lincoln,NE,251624
"Fort Wayne",IN,251591
Glendale,AZ,251522
Greensboro,NC,250642
Chandler,AZ,247140
"St. Petersburg",FL,245314
"Jersey City",NJ,241114
Scottsdale,AZ,235371
Norfolk,VA,234220
Madison,WI,231916
Orlando,FL,230519
Birmingham,AL,228798
"Baton Rouge",LA,223689
Durham,NC,223284
Laredo,TX,221659
Lubbock,TX,220483
Chesapeake,VA,220111
"Chula Vista",CA,219318
Garland,TX,218577
Winston-Salem,NC,217600
"North Las Vegas",NV,217253
Reno,NV,217016
Gilbert,AZ,216449
Hialeah,FL,210542
Arlington,VA,209969
Akron,OH,207510
Irvine,CA,207500
Rochester,NY,206886
"Boise City",ID,205314
Modesto,CA,202967
Fremont,CA,202867
Montgomery,AL,202696
Spokane,WA,202319
Richmond,VA,202002
Yonkers,NY,201588
Irving,TX,201358
Shreveport,LA,199729
"San Bernardino",CA,198580
Tacoma,WA,197181
Glendale,CA,197176
"Des Moines",IA,197052
Augusta,GA,194149
"Grand Rapids",MI,193396
"Huntington Beach",CA,192620
Mobile,AL,191022
"Moreno Valley",CA,190871
"Little Rock",AR,189515
Amarillo,TX,187236
Columbus,GA,186984
Oxnard,CA,185717
Fontana,CA,184984
Knoxville,TN,184802
"Fort Lauderdale",FL,183126
"Salt Lake City",UT,181698
"Newport News",VA,179614
Huntsville,AL,176645
Tempe,AZ,175523
Brownsville,TX,175494
Worcester,MA,175011
Fayetteville,NC,174091
Jackson,MS,173861
Tallahassee,FL,171922
Aurora,IL,171782
Ontario,CA,171691
Providence,RI,171557
"Overland Park",KS,171231
"Rancho Cucamonga",CA,171176
Chattanooga,TN,170880
Oceanside,CA,169684
"Santa Clarita",CA,169500
"Garden Grove",CA,165796
Vancouver,WA,163186
"Grand Prairie",TX,160641
Peoria,AZ,157960
Rockford,IL,157272
"Cape Coral",FL,156835
Springfield,MO,156206
"Santa Rosa",CA,155796
"Sioux Falls",SD,154997
"Port St. Lucie",FL,154353
Dayton,OH,154200
Salem,OR,153435
Pomona,CA,152699
Springfield,MA,150640
Eugene,OR,150104
Corona,CA,149923
Pasadena,TX,146439
Joliet,IL,146125
"Pembroke Pines",FL,145661
Paterson,NJ,145643
Hampton,VA,145494
Lancaster,CA,145469
Alexandria,VA,143885
Salinas,CA,143640
Palmdale,CA,143197
Naperville,IL,143117
Pasadena,CA,143080
"Kansas City",KS,142562
Hayward,CA,142061
Hollywood,FL,141740
Lakewood,CO,140989
